Entity Type,ID,Name/Details,Additional Info
role,ftr07962,FIG002961: Putative lipid carrier protein,ModelSEED
role,ftr12921,"L-Cystine ABC transporter, permease protein TcyB",ModelSEED
role,ftr07961,FIG001421: Putative protease,ModelSEED
role,ftr12096,"Phage portal protein, PBSX",ModelSEED
role,ftr11749,FIG137864: putative endonuclease containing a URI domain,ModelSEED
role,ftr11744,"ABC-type Na+ transport system, ATPase component",ModelSEED
role,ftr11034,"Hypothetical protein pVir0029, glutamine-rich",ModelSEED
role,ftr15336,FIG00638803: hypothetical protein,ModelSEED
role,ftr04126,FKBP-type peptidyl-prolyl cis-trans isomerase,ModelSEED
role,ftr16469,hupB promoter P3,ModelSEED
role,ftr16330,TorCAD operon transcriptional regulatory protein TorR,ModelSEED
role,ftr15745,FIG00638364: hypothetical protein,ModelSEED
role,ftr02878,Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52),ModelSEED
role,ftr02877,Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-),ModelSEED
role,ftr02876,Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-),ModelSEED
role,ftr02875,Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70),ModelSEED
role,ftr02873,Putative lipoprotein required for motility,ModelSEED
role,ftr16091,"Biotin--protein ligase (EC 6.3.4.9, EC 6.3.4.10, EC 6.3.4.11, EC 6.3.4.15)",ModelSEED
role,ftr13523,Phage inihibitor of recBCD nuclease,ModelSEED
role,ftr13521,Phage resolvase,ModelSEED
role,ftr15425,FIG00638290: hypothetical protein,ModelSEED
role,ftr13418,Cyanophage-encoded phosphoribosylaminoimidazole-succinocarboxamide synthase protein,ModelSEED
role,ftr16501,pts promoter P1b,ModelSEED
role,ftr12212,"N1-specific pseudouridine methyltransferase NEP1, biosynthesis of m1acp3-psi in 18S/16S rRNA in Eukaryotes and Archaea",ModelSEED
role,ftr13415,"T4-like phage protein, T4 GC0918",ModelSEED
role,ftr12210,"N1-specific pseudouridine methyltransferase TrmY, biosynthesis of m1psi in tRNA at position 54 in Archaea",ModelSEED
role,ftr12211,Pus10-like,ModelSEED
role,ftr16439,rot promoter P4,ModelSEED
role,ftr13296,hypothetical protein in PFGI-1-like cluster,ModelSEED
role,ftr13291,Conjugative transfer protein PilO in PFGI-1-like cluster,ModelSEED
role,ftr13290,Conjugative transfer protein PilN in PFGI-1-like cluster,ModelSEED
role,ftr13293,Conjugative transfer protein PilR in PFGI-1-like cluster,ModelSEED
role,ftr13292,Conjugative transfer protein PilP in PFGI-1-like cluster,ModelSEED
role,ftr03471,corresponds to STY4528 from Accession AL513382: Salmonella typhi CT18,ModelSEED
role,ftr03473,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,ModelSEED
role,ftr03474,corresponds to STY4526 from Accession AL513382: Salmonella typhi CT18,ModelSEED
role,ftr03475,Sporulation initiation inhibitor protein Soj,ModelSEED
role,ftr07779,"Transcriptional regulator, Hth-3 family",ModelSEED
role,ftr15742,FIG00638119: hypothetical protein,ModelSEED
role,ftr07777,Ketoisovalerate oxidoreductase subunit VorC (EC 1.2.7.7),ModelSEED
role,ftr16507,gcvTHP promoter,ModelSEED
role,ftr15747,putative prophage integrase,ModelSEED
role,ftr16504,rpoH promoter,ModelSEED
role,ftr08067,Hypothetical protein VpsF,ModelSEED
role,ftr02692,Possible pyrimidine permease in reductive pathway,ModelSEED
role,ftr02691,"Beta-ureidopropionase, eukaryotic type (EC 3.5.1.6)",ModelSEED
role,ftr02695,Extracellular solute binding protein ScrB,ModelSEED
role,ftr16505,cynTSX promoter,ModelSEED
role,ftr16340,uidAB promoter,ModelSEED
role,ftr14618,WhiB-family transcriptional regulator,ModelSEED
role,ftr15426,FIG00638150: hypothetical protein,ModelSEED
role,ftr11885,FIG003033: Helicase domain protein,ModelSEED
role,ftr16190,Regulator of L-galactonate catabolism YjjM,ModelSEED
role,ftr15003,CRP protected region 2 at ca-fix divergon,ModelSEED
role,ftr08789,PUTATIVE PHENOL-DEGRADATIVE GENE REGULATOR TRANSCRIPTION REGULATOR PROTEIN,ModelSEED
role,ftr16099,FIG00639812: hypothetical protein,ModelSEED
role,ftr00931,N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14),ModelSEED
role,ftr00927,Hydantoinase,ModelSEED
role,ftr00926,Hydantoin racemase (EC 5.1.99.-),ModelSEED
role,ftr16353,secB promoter P2,ModelSEED
role,ftr00439,Ribosomal protein L3 methyltransferase,ModelSEED
role,ftr16355,gapB-pgk promoter P0,ModelSEED
role,ftr11406,PEF-CTERM protein,ModelSEED
role,ftr00937,hydantoin racemase,ModelSEED
role,ftr16431,putative xE170-binding site at rrnB,ModelSEED
role,ftr00691,Hydrogenase-4 component A (EC 1.-.-.-),ModelSEED
role,ftr00690,Hydrogenase-4 component H (EC 1.-.-.-),ModelSEED
role,ftr04333,Putative conserved polyketide synthase-associated protein PapA5,ModelSEED
role,ftr04330,Putative lipoprotein LppX precursor,ModelSEED
role,ftr04331,Putative membrane protein MmpL7,ModelSEED
role,ftr04337,Probable alcohol dehydrogenase Adh (EC 1.1.1.1),ModelSEED
role,ftr04334,Putative uncharacterized protein BCG_1584c,ModelSEED
role,ftr04339,hypothetical protein Rv1517,ModelSEED
role,ftr16196,FIG00640556: hypothetical protein,ModelSEED
role,ftr14070,FIG005032: Putative cytoplasmic protein YbdZ in enterobactin biosynthesis operon,ModelSEED
role,ftr02892,23S rRNA (Uracil-5-) -methyltransferase rumA (EC 2.1.1.-),ModelSEED
role,ftr07607,Tetrathionate reductase subunit B (1.8.99.-),ModelSEED
role,ftr00754,"Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate, aspartate",ModelSEED
role,ftr08953,DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6),ModelSEED
role,ftr08951,Cholinephosphate cytidylyltransferase (EC 2.7.7.15),ModelSEED
role,ftr16419,dsdXA promoter,ModelSEED
role,ftr14216,Novel 5-ketogluconate epimerase,ModelSEED
role,ftr14217,Predicted arabinose isomerase,ModelSEED
role,ftr14210,Putative alpha-glucosidase (EC 3.2.1.-),ModelSEED
role,ftr15037,CRP site 2 at rhaBAD/rhaSR divergon,ModelSEED
role,ftr04841,Multidrug efflux transporter MexB,ModelSEED
role,ftr15035,CRP site 3 at rhaBAD/rhaSR divergon,ModelSEED
role,ftr04843,Transcriptional regulator MexR,ModelSEED
role,ftr04844,COG0779: clustered with transcription termination protein NusA,ModelSEED
role,ftr04599,"Cro-like repressor [SA bacteriophages 11, Mu50B]",ModelSEED
role,ftr04590,L-2-Amino-thiazoline-4-carboxylic acid hydrolase,ModelSEED
role,ftr04591,Putative N-carbamyl-L-cysteine amidohydrolase,ModelSEED
role,ftr06992,LSU ribosomal protein L7/L12 (L23e),ModelSEED
role,ftr03317,"Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)",ModelSEED
role,ftr03311,Transmembrane component of energizing module of predicted thiazole ECF transporter,ModelSEED
role,ftr03313,Low-specificity L-threonine aldolase (EC 4.1.2.5),ModelSEED
role,ftr03312,ATPase component of energizing module of predicted thiazole ECF transporter,ModelSEED
role,ftr11964,"Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family",ModelSEED
role,ftr05423,TonB-dependent receptor possibly related to N-acetylgalactosamine utilization,ModelSEED
role,ftr05424,"Predicted N-acetylgalactosamine kinase, ROK-type (EC 2.7.1.157)",ModelSEED
role,ftr05427,"N-Acetyl-D-galactosamine permease, possible",ModelSEED
role,ftr02142,Cation efflux system protein CusA,ModelSEED
role,ftr11966,Protein yihD,ModelSEED
role,ftr02141,Cobalt-zinc-cadmium resistance protein CzcA,ModelSEED
role,ftr02413,Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),ModelSEED
role,ftr05357,"DNA-binding response regulator, OmpR family",ModelSEED
role,ftr10165,Hexaprenyl pyrophosphate synthetase,ModelSEED
role,ftr12021,FIG069748: Hypothetical protein,ModelSEED
role,ftr12020,FIG030803: Hypothetical protein,ModelSEED
role,ftr05822,Probable pyridine nucleotide-disulfide oxidoreductase YkgC,ModelSEED
role,ftr12027,FIG137598: hypothetical protein,ModelSEED
role,ftr12026,FIG011121: hypothetical protein,ModelSEED
role,ftr13889,FIG138315: Putative alpha helix protein,ModelSEED
role,ftr15256,CRP protected region at hupB gene,ModelSEED
role,ftr13884,"COG2907: Amine oxidase, flavin-containing",ModelSEED
role,ftr15254,CRP protected region at cya gene,ModelSEED
role,ftr15253,CRP site at cya gene,ModelSEED
role,ftr15252,putA promoter region invol. in proline induction,ModelSEED
role,ftr15251,putA promoter region invol. in catabolite repressi,ModelSEED
role,ftr01857,COG1821 family protein,ModelSEED
role,ftr15250,CRP retarded fragment at gcv operon,ModelSEED
role,ftr02995,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III FABH (BETA-KETOACYL-ACP SYNTHASE III) (KAS III),ModelSEED
role,ftr02997,CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE 1 CMAA1 (CYCLOPROPANE FATTY ACID SYNTHASE) (CFA SYNTHASE) (CYCLOPROPANE MYCOLIC ACID SYNTHASE 1),ModelSEED
role,ftr02992,Cobalt-precorrin-6x reductase (EC 1.3.1.54),ModelSEED
role,ftr02993,ACETYL/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD6,ModelSEED
role,ftr06697,Eukaryotic translation initiation factor 4H,ModelSEED
role,ftr09414,Cytoplasmic hypothetical protein DUF199,ModelSEED
role,ftr09415,"Cytoplasmic hypothetical protein DUF199, a subgroup",ModelSEED
role,ftr09417,"Hypothetical ATP-binding protein UPF0042, contains P-loop",ModelSEED
role,ftr15006,putative CRP site at dctA gene,ModelSEED
role,ftr03865,"Tyrosine type site-specific recombinase, Mpi regulator",ModelSEED
role,ftr03863,"promoter region for PTS region, with flanking inverted repeats",ModelSEED
role,ftr03860,Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-),ModelSEED
role,ftr03869,Hypothetical protein clustered with UpdY,ModelSEED
role,ftr03868,"Tyrosine type site-specific recombinase, probable regulator for PS locus",ModelSEED
role,ftr16106,UPF0337 protein yjbJ,ModelSEED
role,ftr16107,FIG00639079: hypothetical protein,ModelSEED
role,ftr02198,Uptake hydrogenase large subunit (EC 1.12.99.6),ModelSEED
role,ftr02199,"Ni,Fe-hydrogenase I cytochrome b subunit",ModelSEED
role,ftr16101,Acetate operon repressor,ModelSEED
role,ftr02194,"Sulfonate ABC transporter, ATP-binding subunit SsuB",ModelSEED
role,ftr02197,Uptake hydrogenase small subunit precursor (EC 1.12.99.6),ModelSEED
role,ftr02190,Transport ATP-binding protein CydC,ModelSEED
role,ftr02191,Transport ATP-binding protein CydD,ModelSEED
role,ftr02193,Alkanesulfonates ABC transporter ATP-binding protein,ModelSEED
role,ftr14858,promoter at moeAB,ModelSEED
role,ftr14859,ArcA retarded fragment at moeAB,ModelSEED
role,ftr14856,Fnr protected fragment at focA-pflB,ModelSEED
role,ftr14857,Crp retarded fragment at focA-pflB,ModelSEED
role,ftr14854,promoter 2 at cysG,ModelSEED
role,ftr14855,NagC protected region (boxE) at nagE/nagBCAD locus,ModelSEED
role,ftr14852,promoter region at cysG,ModelSEED
role,ftr14853,promoter 1 at cysG,ModelSEED
role,ftr14850,putative NarL binding site at dmsABC,ModelSEED
role,ftr14851,promoter at torCA,ModelSEED
role,ftr01649,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)",ModelSEED
role,ftr01648,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F4 (as in PMID19099556)",ModelSEED
role,ftr01641,Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1),ModelSEED
role,ftr01640,"Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)",ModelSEED
role,ftr01643,Glutathione-dependent formaldehyde dehydrogenase (EC 1.2.1.1),ModelSEED
role,ftr01645,Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-),ModelSEED
role,ftr01647,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)",ModelSEED
role,ftr01646,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F1 (as in PMID19099556)",ModelSEED
role,ftr00592,Flagellar biosynthesis protein fliS,ModelSEED
role,ftr00593,Flagellar biosynthesis protein fliT,ModelSEED
role,ftr00590,Flagellar biosynthesis protein fliC,ModelSEED
role,ftr00591,Flagellar hook-associated protein fliD,ModelSEED
role,ftr00594,Flagellar biosynthesis protein fliO,ModelSEED
role,ftr02738,"Lipoxygenase, chloroplast precursor (EC 1.13.11.12)",ModelSEED
role,ftr02739,"Allene oxide synthase, chloroplast precursor (EC 4.2.1.92)",ModelSEED
role,ftr02737,Defective in anther DEHISCENCE1,ModelSEED
role,ftr01428,High-affnity carbon uptake protein Hat/HatR,ModelSEED
role,ftr16359,dcuB promoter,ModelSEED
role,ftr01426,"COG2879, Hypothetical small protein yjiX",ModelSEED
role,ftr01421,"3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)",ModelSEED
role,ftr06340,"CblY, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase",ModelSEED
role,ftr00779,"Putative cytoplasmic protein ,probably associated with Glutathione-regulated potassium-efflux",ModelSEED
role,ftr00770,"ATP-dependent nuclease, subunit B",ModelSEED
role,ftr00771,Glutathione-regulated potassium-efflux system protein kefB,ModelSEED
role,ftr09267,probable RuBisCo-expression protein CbbX,ModelSEED
role,ftr16358,dcuA promoter,ModelSEED
role,ftr11907,FIG026765: hypothetical protein,ModelSEED
role,ftr11904,FIG109201: Hypothetical protein,ModelSEED
role,ftr09261,Possible carbon dioxide concentrating mechanism protein CcmK,ModelSEED
role,ftr16075,FIG00638402: hypothetical protein,ModelSEED
role,ftr14600,"Uracil-DNA glycosylase, family 5",ModelSEED
role,ftr16085,FIG00638928: hypothetical protein,ModelSEED
role,ftr15004,CRP protected region 3 at ca-fix divergon,ModelSEED
role,ftr14689,putative CRP site 1 at dad operon,ModelSEED
role,ftr14688,CRP site at nmpC gene,ModelSEED
role,ftr14683,CRP site 5 at mtl operon,ModelSEED
role,ftr14682,putative Fur binding site at fptA,ModelSEED
role,ftr14681,CRP site 4 at mtl operon,ModelSEED
role,ftr14680,CRP site 3 at mtl operon,ModelSEED
role,ftr14687,cis-acting region at nmpC gene (pHo repression),ModelSEED
role,ftr14686,CRP site II at crp gene,ModelSEED
role,ftr14685,CRP (CAP) site at uhpT gene,ModelSEED
role,ftr14684,CRP (CAP) retarded region at uhpT gene,ModelSEED
role,ftr12903,Alpha-N-arabinofuranosidase II (EC 3.2.1.55),ModelSEED
role,ftr12907,"Ascorbate-specific PTS system, EIIB component (EC 2.7.1.69)",ModelSEED
role,ftr12908,"Ascorbate-specific PTS system, EIIC component",ModelSEED
role,ftr12909,L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F),ModelSEED
role,ftr15034,gadA control region,ModelSEED
role,ftr10238,Antigen 85-A precursor (85A) (Antigen 85 complex A) (Ag85A) (Mycolyl transferase 85A) (EC 2.3.1.-),ModelSEED
role,ftr10237,"Probable polyketide synthase, similar to many. e.g. gp|M63676|SERERYAA_1 S.erythraea first ORF of eryA gene, involved in complex polyketide formation in erythromycin biosynthesis.",ModelSEED
role,ftr10233,"L,D-transpeptidase YbiS",ModelSEED
role,ftr10230,Penicillin-binding protein AmpH,ModelSEED
role,ftr10231,"L,D-transpeptidase YcfS",ModelSEED
role,ftr11013,ATP-sensitive inward rectifier potassium channel 8,ModelSEED
role,ftr11012,Vesicle transport protein GOT1B,ModelSEED
role,ftr11015,Type IV secretion/competence protein (VirB10),ModelSEED
role,ftr11014,Type IV secretion/competence protein (VirB9),ModelSEED
role,ftr11017,Hypothetical protein pVir0007,ModelSEED
role,ftr11016,Hypothetical protein pVir0004,ModelSEED
role,ftr05854,Formylmethanofuran dehydrogenase (molybdenum) operon gene F (polyferredoxin),ModelSEED
role,ftr05855,Formylmethanofuran dehydrogenase (tungsten) operon gene F (polyferredoxin),ModelSEED
role,ftr12599,"transcription antiterminator, bglG family",ModelSEED
role,ftr15487,Cystathionine beta-lyase (EC 4.4.1.8) (CBL) (Beta-cystathionase) (Cysteine lyase),ModelSEED
role,ftr15484,Protein ydgH precursor,ModelSEED
role,ftr04457,"Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1)",ModelSEED
role,ftr04104,3-phenylpropionic acid transporter,ModelSEED
role,ftr04454,"Arginine ABC transporter, periplasmic arginine-binding protein ArtI",ModelSEED
role,ftr16418,dnaAp2,ModelSEED
role,ftr16350,fucPIK promoter,ModelSEED
role,ftr02855,Capsular polysaccharide repeating-unit polymerase CpsH,ModelSEED
role,ftr02857,Capsular polysaccharide biosynthesis protein CpsK(V),ModelSEED
role,ftr02853,Glycosyl transferase CpsG,ModelSEED
role,ftr02858,Capsular polysaccharide biosynthesis protein Cps4E,ModelSEED
role,ftr16357,dadAX promoter P1,ModelSEED
role,ftr13489,Phage recombination related endonuclease,ModelSEED
role,ftr10640,Nitrate/nitrite sensor protein (EC 2.7.3.-),ModelSEED
role,ftr13501,Phage RNA polymerase binding protein,ModelSEED
role,ftr13503,Phage alc transcription terminator,ModelSEED
role,ftr13502,"Phage translational repressor, regA",ModelSEED
role,ftr16356,aspA promoter,ModelSEED
role,ftr14310,"T4-like phage protein, T4 GC1584",ModelSEED
role,ftr10691,"PlcB, ORFX, ORFP, ORFB, ORFA, ldh gene",ModelSEED
role,ftr12272,LysR-family transcriptional regulator YhaJ,ModelSEED
role,ftr12273,Pirin-like protein YhaK,ModelSEED
role,ftr12278,Recombination protein RecU,ModelSEED
role,ftr03101,LSU ribosomal protein P1,ModelSEED
role,ftr03102,LSU ribosomal protein P2,ModelSEED
role,ftr03103,LSU ribosomal protein L12a (P1/P2),ModelSEED
role,ftr03107,"Inactive homolog of metal-dependent proteases, putative molecular chaperone",ModelSEED
role,ftr03456,Lipid A export ATP-binding/permease protein msbA,ModelSEED
role,ftr03109,Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit,ModelSEED
role,ftr03454,Protein SkfH,ModelSEED
role,ftr03452,ABC transporter ATP-binding protein SkfF,ModelSEED
role,ftr03453,Protein SkfG,ModelSEED
role,ftr03450,Amino terminal CAAX family protease SkfD,ModelSEED
role,ftr03451,ABC transporter SkfE,ModelSEED
role,ftr02500,calcium/proton exchanger,ModelSEED
role,ftr02506,sodium/hydrogen exchanger family protein,ModelSEED
role,ftr14999,CaiF protected region F2 at cai/fix divergon,ModelSEED
role,ftr07759,Melibiose operon regulatory protein,ModelSEED
role,ftr14993,CRP protected region 1 at fuc locus,ModelSEED
role,ftr14992,CAP protected region at uhpT gene,ModelSEED
role,ftr14991,CRP site at spf gene,ModelSEED
role,ftr14990,UhpA protected region at uhpT gene,ModelSEED
role,ftr15032,Mlc protected region at manXYZ operon,ModelSEED
role,ftr15609,putative membrane,ModelSEED
role,ftr12926,Possible alternative L-fucose mutarotase,ModelSEED
role,ftr12927,L-fuco-beta-pyranose dehydrogenase,ModelSEED
role,ftr12920,"L-Cystine ABC transporter, periplasmic cystine-binding protein TcyA",ModelSEED
role,ftr12922,"L-Cystine ABC transporter, ATP-binding protein TcyC",ModelSEED
role,ftr15973,Putative receptor,ModelSEED
role,ftr12923,"Cystine ABC transporter, periplasmic cystine-binding protein FliY",ModelSEED
role,ftr16412,hmpAp,ModelSEED
role,ftr09622,LysR-family transcriptional regulator clustered with PA0057,ModelSEED
role,ftr00901,ESAT-6/Esx family secreted protein EsxA/YukE,ModelSEED
role,ftr15976,Putative PerM family permease,ModelSEED
role,ftr00902,"FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA",ModelSEED
role,ftr00907,ESAT-6/Esx family secreted protein EsxB,ModelSEED
role,ftr16371,gadBC promoter,ModelSEED
role,ftr16373,clyA promoter,ModelSEED
role,ftr16375,proP promoter P2,ModelSEED
role,ftr15974,probable enzyme yhhN,ModelSEED
role,ftr16377,yiaJ promoter,ModelSEED
role,ftr16379,dadAX promoter P3,ModelSEED
role,ftr13622,"T4-like phage virulence associated protein, VrlC",ModelSEED
role,ftr14264,"Unknown carbohydrate transporter from TRAP family, substrate-binding component UctP",ModelSEED
role,ftr14267,Predicted sugar dehydrogenase TM0325,ModelSEED
role,ftr01365,"Glycosyl transferase ,group 2 family, anthrose biosynthesis",ModelSEED
role,ftr16104,YjbI protein # frameshift,ModelSEED
role,ftr15940,LysR family transcriptional regulator QseA,ModelSEED
role,ftr13626,T4-like phage structural protein with PA14 domain,ModelSEED
role,ftr13627,"T4-like phage structural protein, T4 GC0403",ModelSEED
role,ftr10339,Streptococcal inhibitor of complement (SIC),ModelSEED
role,ftr10336,protein F,ModelSEED
role,ftr15024,RhaR and CRP retarded fragment at rhaBAD operon,ModelSEED
role,ftr15025,FIS protected region 4 at crp gene,ModelSEED
role,ftr10332,Plasmin(ogen) receptor,ModelSEED
role,ftr16416,tauAp,ModelSEED
role,ftr15020,CRP protected region II at crp gene,ModelSEED
role,ftr15022,FIS protected region 2 at crp gene,ModelSEED
role,ftr08570,Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1),ModelSEED
role,ftr08571,Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1),ModelSEED
role,ftr08572,"TldD protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)",ModelSEED
role,ftr14053,"Putative siderophore biosynthesis protein, related to cysteine synthase",ModelSEED
role,ftr14051,Uncharacterized ferric siderophore receptor protein,ModelSEED
role,ftr16502,pts promoter P0a and P0b,ModelSEED
role,ftr16051,Putative ECA polymerase,ModelSEED
role,ftr16500,dad promoter,ModelSEED
role,ftr15029,CRP protected region at insAB operon,ModelSEED
role,ftr00019,Hyaluronan mediated motility receptor,ModelSEED
role,ftr00018,Conserved oligomeric Golgi complex component 8,ModelSEED
role,ftr00013,Ribosomal protein S6 kinase alpha 5 (EC 2.7.11.1),ModelSEED
role,ftr00017,Cadherin-4 precursor,ModelSEED
role,ftr00016,Growth-arrest-specific protein 8,ModelSEED
role,ftr00015,60S ribosome subunit biogenesis protein NIP7,ModelSEED
role,ftr00014,Nanos protein,ModelSEED
role,ftr14232,"Trehalose synthase, nucleoside diphosphate glucose dependent",ModelSEED
role,ftr01814,Glutamine amidotransferases class-II (GATase),ModelSEED
role,ftr14230,"Extracellular endo-1,4-glucanase",ModelSEED
role,ftr14237,"Hypothetical protein, no COGs",ModelSEED
role,ftr01815,"Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB",ModelSEED
role,ftr05620,Hshin7 protein,ModelSEED
role,ftr05197,Putative oxidoreductase in arabinose utilization cluster,ModelSEED
role,ftr05196,Hypothetical phosphoglucomutase family hydrolase in arabinose utilization cluster,ModelSEED
role,ftr05199,"Predicted L-arabinose ABC transport system, permease protein 1",ModelSEED
role,ftr01545,Streptolysin O,ModelSEED
role,ftr04864,"Ubiquinone biosynthesis protein COQ9, mitochondrial precursor",ModelSEED
role,ftr04862,Ubiquinone biosynthesis enzyme COQ7,ModelSEED
role,ftr04863,"Ubiquinone biosynthesis protein COQ4, mitochondrial precursor",ModelSEED
role,ftr04860,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",ModelSEED
role,ftr04861,"3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase (EC 2.1.1.114)",ModelSEED
role,ftr08108,FIG004454: RNA binding protein,ModelSEED
role,ftr05447,tRNA (guanine9-N1-)-methyltransferase (EC 2.1.1.-),ModelSEED
role,ftr00633,Flavohemoprotein,ModelSEED
role,ftr05445,HOMODA hydrolase (CmtE) (EC 3.7.1.-),ModelSEED
role,ftr05444,"2-hydroxypenta-2,4-dienoate hydratase (CmtF) (EC 4.2.1.-)",ModelSEED
role,ftr05443,p-cymene degradation operon transcriptional regulator,ModelSEED
role,ftr05442,p-cumate dioxygenase ferredoxin,ModelSEED
role,ftr05441,"2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase(CmtB) (EC 1.1.1.100)",ModelSEED
role,ftr05440,"P-cymene monooxygenase, reductase subunit(CymAb) (EC 1.17.1.-)",ModelSEED
role,ftr05449,"Subunit of an adoMet-dependent tRNA methyltransferase (MTase) complex (Trm11p-Trm112p), required for the methylation of the guanosine nucleotide at position 10 (m2G10) in tRNAs",ModelSEED
role,ftr05448,tRNA (guanine10-N2-)-methyltransferase (EC 2.1.1.-),ModelSEED
